Position,MeanYear,Longitude,Latitude
Forward,1922.5,16.3106,48.2125
Defender,1922.5,-0.1517,51.4008
Defender,1922.5,-0.3333,51.9667
Forward,1922.5,-1.3697,54.8678
Midfielder,1922.5,-0.0708,51.6153
Midfielder,1922.5,-2.87,53.7819
Forward,1922.5,-2.7461,53.4542
Forward,1922.5,13.3833,52.5167
Forward,1922.5,11.0833,49.45
Forward,1922.5,19.25,47.4333
,1922.5,19.0042,46.8011
Midfielder,1922.5,19.0514,47.4925
,1922.5,19.0514,47.4925
Forward,1922.5,19.25,47.4333
Midfielder,1922.5,-58.3817,-34.6033
Midfielder,1922.5,8.9328,44.4111
,1922.5,6.8833,53.1
Midfielder,1922.5,22.7667,49.7833
Forward,1922.5,-9.15,38.7667
Midfielder,1922.5,-9.1392,38.7136
Midfielder,1922.5,-9.1392,38.7136
Forward,1922.5,-4.0267,55.8625
Defender,1922.5,-4.1147,55.8475
Forward,1922.5,-4.3083,55.8614
Midfielder,1923,-58.3817,-34.6033
Forward,1923,13.3775,49.7475
Defender,1923,-1.3539,53.12
Defender,1923,-0.6617,51.9164
Forward,1923,-1.5961,51.86
Goalkeeper,1923,-1.7489,54.7131
Midfielder,1923,-0.0708,51.6153
Defender,1923,0.01,51.5689
Goalkeeper,1923,-2.9419,53.3669
Goalkeeper,1923,-1.4167,54.8167
Forward,1923,-1.9497,52.5125
,1923,-1.4489,54.8208
Forward,1923,-1.8333,54.85
Forward,1923,-1.6,54.9667
Midfielder,1923,-2.2081,53.5072
,1923,24.9375,60.1708
Forward,1923,11.0833,49.45
Defender,1923,11.0833,49.45
Forward,1923,8.4692,49.4889
Forward,1923,139.7667,35.6833
Forward,1923,139.7667,35.6833
Defender,1923,139.7667,35.6833
Defender,1923,132.4553,34.3853
Forward,1923,139.7667,35.6833
Goalkeeper,1923,139.7667,35.6833
Midfielder,1923,139.7667,35.6833
Midfielder,1923,139.7667,35.6833
Forward,1923,132.4553,34.3853
Forward,1923,139.7667,35.6833
Forward,1923,-9.15,38.7667
Forward,1923,-9.15,38.7667
Forward,1923,-9.15,38.7667
Midfielder,1923,-8.8833,38.5333
Forward,1923,-9.1392,38.7136
Forward,1923,-4.2061,55.9739
Defender,1923,-5.6081,55.4231
Midfielder,1923,-3.8342,55.7336
Midfielder,1923,-2.8883,56.6442
Forward,1923.5,-0.0708,51.6153
Forward,1923.5,-1.3775,53.2353
Forward,1923.5,-1.9497,52.5125
Midfielder,1923.5,25.5572,58.8833
,1923.5,24.7453,59.4372
Goalkeeper,1923.5,2.5167,48.9
Forward,1923.5,11.0833,49.45
Forward,1923.5,13.0667,52.4
Defender,1923.5,19.0833,47.5667
Defender,1923.5,11.3514,44.5075
Forward,1923.5,-9.1392,38.7136
Forward,1923.5,-9.1392,38.7136
Forward,1924,-58.3833,-34.65
Midfielder,1924,-60.6667,-32.95
Defender,1924,16.3667,48.2
Forward,1924,16.35,48.2
Forward,1924,16.3667,48.2
Defender,1924,14.4167,50.0833
Defender,1924,-0.0731,51.5614
Forward,1924,-1.4778,55.0825
